,agency,administering_org,primary_ownership_group,county,activity,category,activity_status,activity_acres,activity_end,shape_Length,shape_Area,source,project_type,activity_description,project_status,activity_start,date_proposed,date_certified,project_acres,fs_unit_name,fs_unit_id,rx_burn_id,gis_acres,rx_consum,pre_con_class,post_con_class,date_approved,date_expired,objective,activity_group,filter_year,department,cost_per_acre,id,Watershed,HUC8,WatershedGroup,category2,category3
3934,USDA,USFS,Federal,Siskiyou,,,N/A,17.140643461332303,,75.00976187473454,365.5308079524236,USFS Watershed Improvement Tracking (WIT),,Doe Flat Access,,,,,,SIX RIVERS NATIONAL FOREST,0510,,,,,,,,,,,nan,,3935,Smith,18010101,Klamath Watersheds,,
6809,,Sierra Pacific Industries,Sierra Pacific Industries,Trinity,Reforestation After Emergency Notice - Fire,Reforestation,Complete,138.45119637,2020.0,827.3958592090166,6419.230153972673,CAL FIRE Emergency Notices,,2018 Carr Fire,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,6810,Clear Creek-Sacramento River,18020154,Trinity,Reforestation,Reforestation
5933,,Sierra Pacific Industries,Sierra Pacific Industries,Trinity,Emergency Notice - Fire,Harvest,Complete,138.45119637,,827.3958592090166,6419.230153972673,CAL FIRE Emergency Notices,,2018 Carr Fire,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,5934,Clear Creek-Sacramento River,18020154,Trinity,Harvest,Harvest
100,CNRA,CALFIRE,PRIVATE_NON-INDUSTRY,Yuba,MASTICATION,Mechanical Fuels Reduction,Active,54.0,2022.0,563.5385753360537,19981.82712993017,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Mastication,2022.0,CALFIRE,,101,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
101,CNRA,CALFIRE,PRIVATE_NON-INDUSTRY,Yuba,CHIPPING,Mechanical Fuels Reduction,Active,15.9,2022.0,563.5385753360537,19981.82712993017,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Chipping,2022.0,CALFIRE,,102,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1573,CNRA,CALFIRE,,Yuba,Fuel Reduction,Mechanical Fuels Reduction,Active,1407.19,2025.0,563.5385753360537,19981.82712993017,CalMAPPER,Forest Health,01 - SPI Land (Yuba County),Active,2020.0,,,,,,,,,,,,,,Fuel Reduction,2025.0,CALFIRE,,1574,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
103,CNRA,CALFIRE,PRIVATE_NON-INDUSTRY,Yuba,MASTICATION,Mechanical Fuels Reduction,Active,11.4,2022.0,563.5385753360537,19981.82712993017,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Mastication,2022.0,CALFIRE,,104,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1903,USDA,USFS,Federal,Plumas,Thinning-Commercial,Harvest,N/A,1.821284893527264,,19.571873562627253,12.716790253624577,USFS Watershed Improvement Tracking (WIT),,051103 Sugarloaf Commercial Thin Unit 5,,,,,,PLUMAS NATIONAL FOREST,0511,,,,,,,,,Commercial Thinning,,nan,,1904,Upper Yuba,18020125,Feather,Harvest,Harvest
102,CNRA,CALFIRE,PRIVATE_NON-INDUSTRY,Yuba,HERBICIDE_APP,Other,Active,39.3,2022.0,563.5385753360537,19981.82712993017,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Herbicide,2022.0,CALFIRE,,103,Upper Yuba,18020125,Feather,Other,Other
1863,CNRA,Yuba Water Agency,,Butte,Broadcast Burn,Beneficial Fire,Complete,199.0,,3985.3775897867536,503523.31108140416,CalVTP Database,CalVTP,Yuba Foothills Healthy Forest Project,,,2020.0,2020.0,4053.976557094334,,,,,,,,,,,Broadcast Burn,2020.0,nan,,1864,Upper Yuba,18020125,Feather,Beneficial Fire,Beneficial Fire - Intentional
1874,CNRA,Yuba Water Agency,,Butte,Mechanical Treatment,Mechanical Fuels Reduction,Complete,1585.0,,3985.3775897867536,503523.31108140416,CalVTP Database,CalVTP,Yuba Foothills Healthy Forest Project,,,2020.0,2020.0,4053.976557094334,,,,,,,,,,,Mechanical Thinning,2020.0,nan,,1875,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1879,CNRA,Yuba Water Agency,,Butte,Manual Treatment,Mechanical Fuels Reduction,Complete,290.0,,3985.3775897867536,503523.31108140416,CalVTP Database,CalVTP,Yuba Foothills Healthy Forest Project,,,2020.0,2020.0,4053.976557094334,,,,,,,,,,,Manual Thinning,2020.0,nan,,1880,Upper Yuba,18020125,Feather,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1868,CNRA,Yuba Water Agency,,Butte,RxFire-PileBurn,Beneficial Fire,Complete,199.0,,3985.3775897867536,503523.31108140416,CalVTP Database,CalVTP,Yuba Foothills Healthy Forest Project,,,2020.0,2020.0,4053.976557094334,,,,,,,,,,,Pile Burning,2020.0,nan,,1869,Upper Yuba,18020125,Feather,Beneficial Fire,Beneficial Fire - Intentional
3089,USDA,USFS,Federal,Lassen,Thinning-Precommercial,Mechanical Fuels Reduction,Complete,328.5810695559088,,250.98455559939907,1547.1539931314583,USFS Watershed Improvement Tracking (WIT),,050658-2019 Diamond Hand Thin 1,,2019.0,,,,LASSEN NATIONAL FOREST,0506,,,,,,,,,Precommercial Thinning,2019.0,nan,,3090,Honey-Eagle Lakes,18080003,Pit,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6325,,Fruit Growers Supply Co,Fruit Growers Supply Co,Siskiyou,"Emergency Notice - Drought, Insect, Other",Harvest,Complete,166.72122162,,8595.203402764006,674696.8464460145,CAL FIRE Emergency Notices,,"Diease, Parasies",,,,,,,,,,,,,2020.0,2021.0,Timber Harvest,Emergency Notice,2021.0,nan,,6326,Applegate,17100309,Applegate,Harvest,Harvest
6326,,Fruit Growers Supply Co,Fruit Growers Supply Co,Siskiyou,Emergency Notice - Fire,Harvest,Complete,220.84001419,,5882.9575611787795,893707.8297580079,CAL FIRE Emergency Notices,,,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,6327,Applegate,17100309,Applegate,Harvest,Harvest
7131,,Fruit Growers Supply Co,Fruit Growers Supply Co,Siskiyou,Reforestation After Emergency Notice - Fire,Reforestation,Complete,220.84001419,2020.0,5882.9575611787795,893707.8297580079,CAL FIRE Emergency Notices,,,,2019.0,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Post-Harvest Reforestation,2020.0,nan,0.0,7132,Applegate,17100309,Applegate,Reforestation,Reforestation
2639,USDA,USFS,Federal,Shasta,Erosion Control,Restoration - Other,Complete,0.12875888449502282,,82.64257472357416,521.4595358595346,USFS Watershed Improvement Tracking (WIT),,2020_051459SlateCrRd30inRiser2.63,,2020.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Erosion Control,2020.0,nan,,2640,Sacramento Headwaters,18020005,Sacramento Headwaters,Restoration - Other,Restoration - Other
2559,USDA,USFS,Federal,Shasta,Seeding,Reforestation,Complete,143.76296440230826,,3911.3359744891422,582213.5881582359,USFS Watershed Improvement Tracking (WIT),,Habitat Seeding,,2015.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Seeding,2015.0,nan,,2560,Sacramento Headwaters,18020005,Sacramento Headwaters,Reforestation,Reforestation
2558,USDA,USFS,Federal,Shasta,Lake Habitat Improvement,Restoration - Other,Complete,143.76296440230826,,3911.3359744891422,582213.5881582359,USFS Watershed Improvement Tracking (WIT),,Reservoir Fish HabitatIimprovement Project at Gregory Beach,,2015.0,,,,SHASTA TRINITY NATIONAL FOREST,0514,,,,,,,,,Lake Habitat Improvement,2015.0,nan,,2559,Sacramento Headwaters,18020005,Sacramento Headwaters,Restoration - Other,Restoration - Other
5992,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Emergency Notice - Fire,Harvest,Complete,530.97362372,,6122.419802874324,2148774.019294447,CAL FIRE Emergency Notices,,2018 Delta Fire,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,5993,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
904,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,0.15,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,905,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6002,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Emergency Notice - Fire,Harvest,Complete,150.85452979,,5293.718052105008,610486.6227087541,CAL FIRE Emergency Notices,,2018 Delta Fire,,,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Emergency Notice,2020.0,nan,,6003,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
903,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,0.9,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,904,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6003,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Emergency Notice - Fire,Harvest,Complete,1436.97333096,,18509.20692418676,5815224.753198946,CAL FIRE Emergency Notices,,2018 Delta Fire,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,6004,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
908,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,2.0,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,909,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
5996,,Shasta Cascade Timberlands LLC,Shasta Cascade Timberlands LLC,Shasta,Emergency Notice - Fire,Harvest,Complete,250.30449942,,15640.841105654536,1012946.3710420199,CAL FIRE Emergency Notices,,2018 Delta Fire,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,5997,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
905,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,2.0,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,906,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
6004,,Sierra Pacific Land and Timber Co,Sierra Pacific Land and Timber Co,Shasta,"Emergency Notice - Fire, Insect, Other",Harvest,Complete,301.54297096,,11922.426235810957,1220301.108665936,CAL FIRE Emergency Notices,,Delta Fire,,,,,,,,,,,,,2019.0,2020.0,Timber Harvest,Emergency Notice,2020.0,nan,,6005,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
5993,,Sierra Pacific Industries,Sierra Pacific Industries,Shasta,Emergency Notice - Fire,Harvest,Complete,221.03259923,,7084.080421775713,894487.1937602672,CAL FIRE Emergency Notices,,2018 Delta Fire,,,,,,,,,,,,,2018.0,2019.0,Timber Harvest,Emergency Notice,2019.0,nan,,5994,Sacramento Headwaters,18020005,Sacramento Headwaters,Harvest,Harvest
906,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,0.5,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,907,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
907,CNRA,CALFIRE,FEDERAL,Shasta,PILING,Mechanical Fuels Reduction,Active,0.5,2022.0,301.8211679098962,4426.638929288595,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,CALFIRE,,908,Sacramento Headwaters,18020005,Sacramento Headwaters,Mechanical Fuels Reduction,Mechanical Fuels Reduction
911,CNRA,CALFIRE,PRIVATE_INDUSTRY,Shasta,HERBICIDE_APP,Other,Complete,21.0,2022.0,2599.111261734774,88292.0113198536,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Herbicide,2022.0,CALFIRE,,912,Sacramento Headwaters,18020005,Sacramento Headwaters,Other,Other
